movieId,name,role,gender,,
325,J.T. Walsh,John Ehrlichman,2,,
326,James Woods,H.R. Haldeman,2,,
327,Brian Bedford,Clyde Tolson,2,,
328,Kevin Dunn,Charles Colson,0,,
329,Fyvush Finkel,Murray Chotiner,2,,
330,Annabeth Gish,Julie Nixon Eisenhower,1,,
331,Larry Hagman,"""Jack Jones""",2,,
332,Madeline Kahn,Martha Mitchell,1,,
333,Dan Hedaya,Trini Cardoza,2,,
334,Bridgette Wilson,Sandy,0,,
335,Tom Bower,Frank Nixon,2,,
336,Tony Goldwyn,Harold Nixon,2,,
337,Edward Herrmann,Nelson Rockefeller,2,,
338,Tony Lo Bianco,Johnny Roselli,2,,
339,Saul Rubinek,Herb Klein,2,,
340,Robert Beltran,Frank Sturgis,2,,
341,John Cunningham,Bob,2,,
342,John Diehl,Gordon Liddy,2,,
343,John C. McGinley,Earl in Training Film,2,,
344,Michael Chiklis,TV Director,2,,
345,Ric Young,Mao Tse-Tung,2,,
346,Boris Sichkin,Leonid Brezhnev,2,,
347,Sam Waterston,Richard Helms,2,,
348,Marley Shelton,Tricia Nixon Cox,1,,
349,Joanna Going,Young Student,1,,
350,Geena Davis,Morgan Adams,1,,
351,Matthew Modine,William Shaw,2,,
352,Frank Langella,Dawg,2,,
353,Maury Chaykin,John Reed,2,,
354,Patrick Malahide,Ainstee,2,,
355,Stan Shaw,Glasspoole,2,,
356,Rex Linn,Mr. Blair,2,,
357,Paul Dillon,Snelgrave,2,,
358,Christopher Masterson,Bowen,2,,
359,Jimmie F. Skaggs,Scully,0,,
360,Harris Yulin,Black Harry,2,,
361,Carl Chase,Bishop,2,,
362,Peter Geeves,Fiddler Pirate,0,,
363,Angus Wright,Captain Trotter,0,,
364,Ken Bones,Toussant,2,,
365,Mary Peach,Lady,1,,
366,Thomas Lockyer,Lieutenant,2,,
367,Roger Booth,Auctioneer,0,,
368,George Murcell,Mordachai Fingers,2,,
369,Simon Atherton,Bartender,0,,
370,Dickey Beer,Executioner,2,,
371,Christopher Halliday,Hastings,0,,
372,Chris Johnston,Helmsman,0,,
373,Richard Leaf,Snake the Lookout,2,,
374,Tam White,Fleming,0,,
375,Rupert Vansittart,Captain Perkins,2,,
376,Nick Bartlett,Dawg's Pirate,2,,
377,David Bailie,Dawg's Pirate,2,,
378,Kwame Kwei-Armah,Dawg's Pirate,0,,
379,Ramon Tikaram,Dawg's Pirate,2,,
380,Christopher Adamson,Dawg's Pirate,2,,
381,Robert De Niro,Sam 'Ace' Rothstein,2,,
382,Sharon Stone,Ginger McKenna,1,,
383,Joe Pesci,Nicky Santoro,2,,
384,James Woods,Lester Diamond,2,,
385,Don Rickles,Billy Sherbert,2,,
386,Alan King,Andy Stone,2,,
387,Kevin Pollak,Phillip Green,2,,
388,Pasquale Cajano,Remo Gaggi,0,,
389,L.Q. Jones,Pat Webb,2,,
390,Dick Smothers,Sénateur,2,,
391,Frank Vincent,Frank Marino,2,,
392,Oscar Goodman,Oscar Goodman,2,,
393,Richard Riehle,Charlie Clark,2,,
394,Catherine Scorsese,Mme Piscano,1,,
395,Vinny Vella,Artie Piscano,2,,
396,Nobu Matsuhisa,Ichikawa,0,,
397,Erika von Tagen,Amy,1,,
398,Nick Mazzola,Black Jack-Groupier,0,,
399,David Rose,David,0,,
400,John Bloom,Don Ward,2,,
401,Joseph Rigano,Vincent Borelli,2,,
402,Philip Suriano,Dominick Santoro,2,,
403,Melissa Prophet,Jennifer Santoro,0,,
404,Bill Allison,John Nance,0,,
405,Joe La Due,Signaller,0,,
406,Joseph P. Reidy,Winner,2,,
407,Craig Vincent,Cowboy,0,,
408,Carl Ciarfalio,Tony Dogs,2,,
409,Gene Ruffini,Vinny Forlano,2,,
410,Dominick Grieco,Americo Capelli,0,,
411,Clem Caserta,Sal Fusco,0,,
412,Daniel P. Conte,Doctor Dan,2,,
413,Joey DePinto,Stabbed Gambler,0,,
414,Jack Orend,Baker,2,,
415,Paul Herman,Gambler in Phone Booth,2,,
416,Jed Mills,Jack Hardy,0,,
417,Claudia Haro,Trudy,0,,
418,Ffolliott Le Coque,Anna Scott,0,,
419,John Manca,Wiseguy Eddie,0,,
420,Ronald Maccone,Wiseguy Jerry,2,,
421,Joseph Bono,Moosh,0,,
422,Frank Adonis,Rocky,2,,
423,Anthony Russell,Bookie,2,,
424,Stuart Nisbet,LA Banker,2,,
425,Alfred Nittoli,Chastised Gambler,2,,
426,Kate Winslet,Marianne Dashwood,1,,
427,Emma Thompson,Elinor Dashwood,1,,
428,Hugh Grant,Edward Ferrars,2,,
429,Tom Wilkinson,Mr. Dashwood,2,,
430,Alan Rickman,Col. Christopher Brandon,2,,
431,Imogen Stubbs,Lucy Steele,1,,
432,Greg Wise,John Willoughby,2,,
433,Hugh Laurie,Mr. Palmer,2,,
434,Imelda Staunton,Charlotte Jennings Palmer,1,,
435,Robert Hardy,Sir John Middleton,2,,
436,Oliver Ford Davies,Doctor Harris,2,,
437,James Fleet,John Dashwood,2,,
438,Harriet Walter,Fanny Ferrars Dashwood,1,,
439,Gemma Jones,Mrs. Dashwood,1,,
440,Emilie François,Margaret Dashwood,0,,
441,Elizabeth Spriggs,Mrs. Jennings,1,,
442,Richard Lumsden,Robert Ferrars,2,,
443,Tim Roth,Ted the Bellhop,2,,
444,Antonio Banderas,Man,2,,
445,Jennifer Beals,Angela,1,,
446,Madonna,Elspeth,1,,
447,Marisa Tomei,Margaret,1,,
448,Bruce Willis,Leo,2,,
449,Quentin Tarantino,Chester Rush,2,,
450,Sammi Davis,Jezebel,1,,
451,Amanda de Cadenet,Diana,1,,
452,Valeria Golino,Athena,1,,
453,Lili Taylor,Raven,1,,
454,Lawrence Bender,Long Hair Yuppy Scum,2,,
455,Ione Skye,Eva,1,,
456,Alicia Witt,Kiva,1,,
457,David Proval,Siegfried,2,,
458,Lana McKissack,Sarah,1,,
459,Tamlyn Tomita,Wife,1,,
460,Kathy Griffin,Betty,1,,
461,Paul Calderon,Norman,2,,
462,Salma Hayek,TV Dancing Girl,1,,
463,Patricia Vonne,Corpse,1,,
464,Danny Verduzco,Juancho,0,,
465,Kimberly Blair,Hooker,0,,
466,Marc Lawrence,Sam the Bellhop,2,,
