id,movieName,castName,award,,,
288,Gene Milford [Second],One Night of Love ,Film Editing,,,
289,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]",The Gay Divorcee ,Music (Scoring),,,
290,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]",The Lost Patrol ,Music (Scoring),,,
291,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",One Night of Love ,Music (Scoring),,,
292,Music by Vincent Youmans,"""Carioca"" from Flying Down to Rio",Music (Song),,,
293,Music by Con Conrad,"""The Continental"" from The Gay Divorcee",Music (Song),,,
294,Music by Ralph Rainger,"""Love In Bloom"" from She Loves Me Not",Music (Song),,,
295,Metro-Goldwyn-Mayer [Second],The Barretts of Wimpole Street ,Outstanding Production,,,
296,Paramount,Cleopatra ,Outstanding Production,,,
297,First National,Flirtation Walk ,Outstanding Production,,,
298,RKO Radio,The Gay Divorcee ,Outstanding Production,,,
299,Warner Brothers,Here Comes the Navy ,Outstanding Production,,,
300,20th Century [Third],The House of Rothschild ,Outstanding Production,,,
301,Universal,Imitation of Life ,Outstanding Production,,,
302,Columbia,It Happened One Night ,Outstanding Production,,,
303,Columbia,One Night of Love ,Outstanding Production,,,
304,Metro-Goldwyn-Mayer,The Thin Man ,Outstanding Production,,,
305,Metro-Goldwyn-Mayer,Viva Villa! ,Outstanding Production,,,
306,Jesse L. Lasky (production company),The White Parade ,Outstanding Production,,,
307,"Charles Mintz, Producer [Third]",Holiday Land ,Short Subject (Cartoon),,,
308,"Walter Lantz, Producer [Second]",Jolly Little Elves ,Short Subject (Cartoon),,,
309,"Walt Disney, Producer",The Tortoise and the Hare ,Short Subject (Cartoon),,,
310,"Kenneth Macgowan, Producer",La Cucaracha ,Short Subject (Comedy),,,
311,"Jules White, Producer [Third]",Men in Black ,Short Subject (Comedy),,,
312,Warner Brothers [Second],"What, No Men! ",Short Subject (Comedy),,,
313,Skibo Productions [Third],Bosom Friends ,Short Subject (Novelty),,,
314,"Stacy Woodard and Horace Woodard, Producers",City of Wax ,Short Subject (Novelty),,,
315,"Pete Smith, Producer [Second]",Strikes and Spares ,Short Subject (Novelty),,,
316,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Affairs of Cellini ,Sound Recording,,,
317,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",Cleopatra ,Sound Recording,,,
318,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]",Flirtation Walk ,Sound Recording,,,
319,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director [Third]",The Gay Divorcee ,Sound Recording,,,
320,"Universal Studio Sound Department, Theodore Soderberg, Sound Director",Imitation of Life ,Sound Recording,,,
321,"Columbia Studio Sound Department, John Livadary, Sound Director",One Night of Love ,Sound Recording,,,
322,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Viva Villa! ,Sound Recording,,,
323,"Fox Studio Sound Department, E. H. Hansen, Sound Director",The White Parade ,Sound Recording,,,
324,Robert Riskin,It Happened One Night ,Writing (Adaptation),,,
325,"Frances Goodrich, Albert Hackett [Second]",The Thin Man ,Writing (Adaptation),,,
326,Ben Hecht [Third],Viva Villa! ,Writing (Adaptation),,,
327,Mauri Grashin [Third],Hide-Out ,Writing (Original Story),,,
328,Arthur Caesar,Manhattan Melodrama ,Writing (Original Story),,,
329,Norman Krasna [Second],The Richest Girl in the World ,Writing (Original Story),,,
330,,Shirley Temple,Special Award,,,
331,Mutiny on the Bounty,Clark Gable,Actor,,,
332,Mutiny on the Bounty,Charles Laughton,Actor,,,
333,The Informer,Victor McLaglen,Actor,,,
334,Black Fury,Paul Muni,Actor,,,
335,Mutiny on the Bounty,Franchot Tone,Actor,,,
336,Escape Me Never,Elisabeth Bergner,Actress,,,
337,Private Worlds,Claudette Colbert,Actress,,,
338,Dangerous,Bette Davis,Actress,,,
339,Alice Adams,Katharine Hepburn,Actress,,,
340,Becky Sharp,Miriam Hopkins,Actress,,,
341,The Dark Angel,Merle Oberon,Actress,,,
342,Richard Day,The Dark Angel ,Art Direction,,,
343,"Hans Dreier, Roland Anderson [Third]",The Lives of a Bengal Lancer ,Art Direction,,,
344,"Van Nest Polglase, Carroll Clark [Second]",Top Hat ,Art Direction,,,
345,Joseph Newman [Third],David Copperfield ,Assistant Director,,,
346,Eric Stacey,Les Miserables ,Assistant Director,,,
347,"Clem Beauchamp, Paul Wing",The Lives of a Bengal Lancer ,Assistant Director,,,
348,Sherry Shourds [Second],A Midsummer Night's Dream ,Assistant Director,,,
349,Ray June,Barbary Coast ,Cinematography,,,
350,Victor Milner [Third],The Crusades ,Cinematography,,,
351,Gregg Toland [Second],Les Miserables ,Cinematography,,,
352,Hal Mohr,A Midsummer Night's Dream ,Cinematography,,,
353,Lullaby of Broadway and The Words Are In My Heart numbers from Gold Diggers of 1935 [Third],Busby Berkeley,Dance Direction,,,
354,Latin from Manhattan number from Go into Your Dance,Bobby Connolly,Dance Direction,,,
355,Latin from Manhattan number from Go into Your Dance,Bobby Connolly,Dance Direction,,,
356,I've Got a Feeling You're Fooling number from Broadway Melody of 1936,Dave Gould,Dance Direction,,,
357,Lovely Lady and Too Good To Be True numbers from King of Burlesque,Sammy Lee,Dance Direction,,,
358,"Piccolino and Top Hat, White Tie, and Tails numbers from Top Hat [Second]",Hermes Pan,Dance Direction,,,
359,It's the Animal in Me number from Big Broadcast of 1936,LeRoy Prinz,Dance Direction,,,
360,Hall of Kings number from She,Benjamin Zemach,Dance Direction,,,
361,Michael Curtiz [Second],Captain Blood ,Directing,,,
362,John Ford,The Informer ,Directing,,,
363,Henry Hathaway [Third],The Lives of a Bengal Lancer ,Directing,,,
364,Frank Lloyd,Mutiny on the Bounty ,Directing,,,
365,Robert J. Kern,David Copperfield ,Film Editing,,,
366,George Hively [Third],The Informer ,Film Editing,,,
367,Barbara McLean,Les Miserables ,Film Editing,,,
368,Ellsworth Hoagland,The Lives of a Bengal Lancer ,Film Editing,,,
369,Ralph Dawson,A Midsummer Night's Dream ,Film Editing,,,
370,Margaret Booth [Second],Mutiny on the Bounty ,Film Editing,,,
371,"Warner Brothers-First National Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold) [Third]",Captain Blood ,Music (Scoring),,,
372,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Informer ,Music (Scoring),,,
373,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart) [Second]",Mutiny on the Bounty ,Music (Scoring),,,
374,"Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)",Peter Ibbetson ,Music (Scoring),,,
375,Music and Lyrics by Irving Berlin [Second],"""Cheek To Cheek"" from Top Hat",Music (Song),,,
376,Music by Jerome Kern,"""Lovely To Look At"" from Roberta",Music (Song),,,
377,Music by Harry Warren,"""Lullaby Of Broadway"" from Gold Diggers of 1935",Music (Song),,,
378,RKO Radio,Alice Adams ,Outstanding Production,,,
379,Metro-Goldwyn-Mayer,Broadway Melody of 1936 ,Outstanding Production,,,
380,Cosmopolitan [Third],Captain Blood ,Outstanding Production,,,
381,Metro-Goldwyn-Mayer,David Copperfield ,Outstanding Production,,,
382,RKO Radio [Second],The Informer ,Outstanding Production,,,
383,20th Century,Les Miserables ,Outstanding Production,,,
384,Paramount,The Lives of a Bengal Lancer ,Outstanding Production,,,
385,Warner Brothers,A Midsummer Night's Dream ,Outstanding Production,,,
386,Metro-Goldwyn-Mayer,Mutiny on the Bounty ,Outstanding Production,,,
387,Metro-Goldwyn-Mayer,Naughty Marietta ,Outstanding Production,,,
388,Paramount,Ruggles of Red Gap ,Outstanding Production,,,
389,RKO Radio,Top Hat ,Outstanding Production,,,
390,Harman-Ising [Third],The Calico Dragon ,Short Subject (Cartoon),,,
391,"Walt Disney, Producer",Three Orphan Kittens ,Short Subject (Cartoon),,,
392,"Walt Disney, Producer [Second]",Who Killed Cock Robin? ,Short Subject (Cartoon),,,
393,"Jack Chertok, Producer",How to Sleep ,Short Subject (Comedy),,,
394,"Jules White, Producer [Second]","Oh, My Nerves ",Short Subject (Comedy),,,
395,"Hal Roach, Producer [Third]",Tit for Tat ,Short Subject (Comedy),,,
396,"Pete Smith, Producer [tied for 2nd]",Audioscopiks ,Short Subject (Novelty),,,
397,Universal [tied for 2nd],Camera Thrills ,Short Subject (Novelty),,,
398,Gaumont British and Skibo Productions,Wings over Mt. Everest ,Short Subject (Novelty),,,
