id,movieName,castName,award,,,
3825,George Axelrod,Breakfast at Tiffany's ,"Writing (Screenplay, Based on Material from Another Medium)",,,
3826,Carl Foreman,The Guns of Navarone ,"Writing (Screenplay, Based on Material from Another Medium)",,,
3827,"Sidney Carroll, Robert Rossen",The Hustler ,"Writing (Screenplay, Based on Material from Another Medium)",,,
3828,Abby Mann,Judgment at Nuremberg ,"Writing (Screenplay, Based on Material from Another Medium)",,,
3829,Ernest Lehman,West Side Story ,"Writing (Screenplay, Based on Material from Another Medium)",,,
3830,"Valentin Yoshov, Grigori Chukhrai",Ballad of a Soldier ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
3831,"Sergio Amidei, Diego Fabbri, Indro Montanelli",General Della Rovere ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
3832,"Federico Fellini, Tullio Pinelli, Ennio Flaiano, Brunello Rondi",La Dolce Vita ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
3833,"Stanley Shapiro, Paul Henning",Lover Come Back ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
3834,William Inge,Splendor in the Grass ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
3835,,George Seaton,Jean Hersholt Humanitarian Award,,,
3836,A Force in Readiness,William L. Hendricks,Honorary Award,,,
3837,,Fred L. Metzler,Honorary Award,,,
3838,,Jerome Robbins,Honorary Award,,,
3839,,Stanley Kramer,Irving G. Thalberg Memorial Award,,,
3840,Birdman of Alcatraz,Burt Lancaster,Actor,,,
3841,Days of Wine and Roses,Jack Lemmon,Actor,,,
3842,Divorce--Italian Style,Marcello Mastroianni,Actor,,,
3843,Lawrence of Arabia,Peter O'Toole,Actor,,,
3844,To Kill a Mockingbird,Gregory Peck,Actor,,,
3845,Sweet Bird of Youth,Ed Begley,Actor in a Supporting Role,,,
3846,What Ever Happened to Baby Jane?,Victor Buono,Actor in a Supporting Role,,,
3847,Birdman of Alcatraz,Telly Savalas,Actor in a Supporting Role,,,
3848,Lawrence of Arabia,Omar Sharif,Actor in a Supporting Role,,,
3849,Billy Budd,Terence Stamp,Actor in a Supporting Role,,,
3850,The Miracle Worker,Anne Bancroft,Actress,,,
3851,What Ever Happened to Baby Jane?,Bette Davis,Actress,,,
3852,Long Day's Journey into Night,Katharine Hepburn,Actress,,,
3853,Sweet Bird of Youth,Geraldine Page,Actress,,,
3854,Days of Wine and Roses,Lee Remick,Actress,,,
3855,To Kill a Mockingbird,Mary Badham,Actress in a Supporting Role,,,
3856,The Miracle Worker,Patty Duke,Actress in a Supporting Role,,,
3857,Sweet Bird of Youth,Shirley Knight,Actress in a Supporting Role,,,
3858,The Manchurian Candidate,Angela Lansbury,Actress in a Supporting Role,,,
3859,Birdman of Alcatraz,Thelma Ritter,Actress in a Supporting Role,,,
3860,Art Direction: Joseph Wright,Days of Wine and Roses ,Art Direction (Black and White),,,
3861,"Art Direction: Ted Haworth, Leon Barsacq, Vincent Korda; Set Decoration: Gabriel Bechir",The Longest Day ,Art Direction (Black and White),,,
3862,"Art Direction: George W. Davis, Edward Carfagno; Set Decoration: Henry Grace, Dick Pefferle",Period of Adjustment ,Art Direction (Black and White),,,
3863,"Art Direction: Hal Pereira, Roland Anderson; Set Decoration: Sam Comer, Frank R. McKelvy",The Pigeon That Took Rome ,Art Direction (Black and White),,,
3864,"Art Direction: Alexander Golitzen, Henry Bumstead; Set Decoration: Oliver Emert",To Kill a Mockingbird ,Art Direction (Black and White),,,
3865,"Art Direction: John Box, John Stoll; Set Decoration: Dario Simoni",Lawrence of Arabia ,Art Direction (Color),,,
3866,Art Direction: Paul Groesse,Meredith Willson's The Music Man ,Art Direction (Color),,,
3867,"Art Direction: George W. Davis, J. McMillan Johnson; Set Decoration: Henry Grace, Hugh Hunt",Mutiny on the Bounty ,Art Direction (Color),,,
3868,"Art Direction: Alexander Golitzen, Robert Clatworthy; Set Decoration: George Milo",That Touch of Mink ,Art Direction (Color),,,
3869,"Art Direction: George W. Davis, Edward Carfagno; Set Decoration: Henry Grace, Dick Pefferle",The Wonderful World of the Brothers Grimm ,Art Direction (Color),,,
3870,Burnett Guffey,Birdman of Alcatraz ,Cinematography (Black and White),,,
3871,"Jean Bourgoin, Walter Wottitz, (Henri Persin)",The Longest Day ,Cinematography (Black and White),,,
3872,Russell Harlan,To Kill a Mockingbird ,Cinematography (Black and White),,,
3873,Ted McCord,Two for the Seesaw ,Cinematography (Black and White),,,
3874,Ernest Haller,What Ever Happened to Baby Jane? ,Cinematography (Black and White),,,
3875,"Harry Stradling, Sr.",Gypsy ,Cinematography (Color),,,
3876,Russell Harlan,Hatari! ,Cinematography (Color),,,
3877,Fred A. Young,Lawrence of Arabia ,Cinematography (Color),,,
3878,Robert L. Surtees,Mutiny on the Bounty ,Cinematography (Color),,,
3879,Paul C. Vogel,The Wonderful World of the Brothers Grimm ,Cinematography (Color),,,
3880,Don Feld,Days of Wine and Roses ,Costume Design (Black and White),,,
3881,Edith Head,The Man Who Shot Liberty Valance ,Costume Design (Black and White),,,
3882,Ruth Morley,The Miracle Worker ,Costume Design (Black and White),,,
3883,Denny Vachlioti,Phaedra ,Costume Design (Black and White),,,
3884,Norma Koch,What Ever Happened to Baby Jane? ,Costume Design (Black and White),,,
3885,Bill Thomas,Bon Voyage! ,Costume Design (Color),,,
3886,Orry-Kelly,Gypsy ,Costume Design (Color),,,
3887,Dorothy Jeakins,Meredith Willson's The Music Man ,Costume Design (Color),,,
3888,Edith Head,My Geisha ,Costume Design (Color),,,
3889,Mary Wills,The Wonderful World of the Brothers Grimm ,Costume Design (Color),,,
3890,Frank Perry,David and Lisa ,Directing,,,
3891,Pietro Germi,Divorce--Italian Style ,Directing,,,
3892,David Lean,Lawrence of Arabia ,Directing,,,
3893,Arthur Penn,The Miracle Worker ,Directing,,,
3894,Robert Mulligan,To Kill a Mockingbird ,Directing,,,
3895,"Hugo Niebeling, Producer",Alvorada (Brazil's Changing Face) ,Documentary (Feature),,,
3896,"Louis Clyde Stoumen, Producer",Black Fox ,Documentary (Feature),,,
3897,"Jack Howells, Producer",Dylan Thomas ,Documentary (Short Subject),,,
3898,"William L. Hendricks, Producer",The John Glenn Story ,Documentary (Short Subject),,,
3899,"Robert Saudek, Producer",The Road to the Wall ,Documentary (Short Subject),,,
3900,Anne Coates,Lawrence of Arabia ,Film Editing,,,
3901,Samuel E. Beetley,The Longest Day ,Film Editing,,,
3902,Ferris Webster,The Manchurian Candidate ,Film Editing,,,
3903,William Ziegler,Meredith Willson's The Music Man ,Film Editing,,,
3904,"John McSweeney, Jr.",Mutiny on the Bounty ,Film Editing,,,
3905,Greece,Electra ,Foreign Language Film,,,
3906,Italy,The Four Days of Naples ,Foreign Language Film,,,
3907,Brazil,Keeper of Promises (The Given Word) ,Foreign Language Film,,,
3908,France,Sundays and Cybele ,Foreign Language Film,,,
3909,Mexico,Tlayucan ,Foreign Language Film,,,
3910,Jerry Goldsmith,Freud ,"Music (Music Score, Substantially Original)",,,
3911,Maurice Jarre,Lawrence of Arabia ,"Music (Music Score, Substantially Original)",,,
3912,Bronislau Kaper,Mutiny on the Bounty ,"Music (Music Score, Substantially Original)",,,
3913,Franz Waxman,Taras Bulba ,"Music (Music Score, Substantially Original)",,,
3914,Elmer Bernstein,To Kill a Mockingbird ,"Music (Music Score, Substantially Original)",,,
3915,George Stoll,Billy Rose's Jumbo ,"Music (Scoring of Music, Adaptation or Treatment)",,,
3916,Michel Magne,Gigot ,"Music (Scoring of Music, Adaptation or Treatment)",,,
3917,Frank Perkins,Gypsy ,"Music (Scoring of Music, Adaptation or Treatment)",,,
3918,Ray Heindorf,Meredith Willson's The Music Man ,"Music (Scoring of Music, Adaptation or Treatment)",,,
3919,Leigh Harline,The Wonderful World of the Brothers Grimm ,"Music (Scoring of Music, Adaptation or Treatment)",,,
3920,Music by Henry Mancini,"""Days Of Wine And Roses"" from Days of Wine and Roses",Music (Song),,,
3921,Music by Bronislau Kaper,"""Love Song From Mutiny On The Bounty (Follow Me)"" from Mutiny on the Bounty",Music (Song),,,
3922,Music by Andre Previn,"""Song From Two For The Seesaw (Second Chance)"" from Two for the Seesaw",Music (Song),,,
3923,Music by Sammy Fain,"""Tender Is The Night"" from Tender Is the Night",Music (Song),,,
3924,Music by Elmer Bernstein,"""Walk On The Wild Side"" from Walk on the Wild Side",Music (Song),,,
3925,"Sam Spiegel, Producer",Lawrence of Arabia ,Best Picture,,,
3926,"Darryl F. Zanuck, Producer",The Longest Day ,Best Picture,,,
3927,"Morton Da Costa, Producer",Meredith Willson's The Music Man ,Best Picture,,,
3928,"Aaron Rosenberg, Producer",Mutiny on the Bounty ,Best Picture,,,
3929,"Alan J. Pakula, Producer",To Kill a Mockingbird ,Best Picture,,,
3930,"John Hubley and Faith Hubley, Producers",The Hole ,Short Subject (Cartoon),,,
3931,"Jules Engel, Producer",Icarus Montgolfier Wright ,Short Subject (Cartoon),,,
3932,Warner Brothers,Now Hear This ,Short Subject (Cartoon),,,
3933,"William L. Snyder, Producer",Self Defense--For Cowards ,Short Subject (Cartoon),,,
3934,"Walt Disney, Producer",Symposium on Popular Songs ,Short Subject (Cartoon),,,
3935,"Martina Huguenot van der Linden and Charles Huguenot van der Linden, Producers",Big City Blues ,Short Subject (Live Action),,,
3936,"Robert Clouse, Producer",The Cadillac ,Short Subject (Live Action),,,
3937,"Hayward Anderson, Producer",The Cliff Dwellers (formerly titled 'One Plus One') ,Short Subject (Live Action),,,
3938,"Pierre Etaix and J.C. Carrière, Producers",Heureux Anniversaire (Happy Anniversary) ,Short Subject (Live Action),,,
3939,"Herman van der Horst, Producer",Pan ,Short Subject (Live Action),,,
3940,"Walt Disney Studio Sound Department, Robert O. Cook, Sound Director",Bon Voyage! ,Sound,,,
3941,"Shepperton Studio Sound Department, John Cox, Sound Director",Lawrence of Arabia ,Sound,,,
3942,"Warner Brothers Studio Sound Department, George R. Groves, Sound Director",Meredith Willson's The Music Man ,Sound,,,
3943,"Universal City Studio Sound Department, Waldon O. Watson, Sound Director",That Touch of Mink ,Sound,,,
3944,"Glen Glenn Sound Department, Joseph Kelly, Sound Director",What Ever Happened to Baby Jane? ,Sound,,,
3945,Visual Effects by Robert MacDonald,The Longest Day ,Special Effects,,,
3946,Visual Effects by A. Arnold Gillespie,Mutiny on the Bounty ,Special Effects,,,
3947,Eleanor Perry,David and Lisa ,"Writing (Screenplay, Based on Material from Another Medium)",,,
3948,"Robert Bolt, Michael Wilson",Lawrence of Arabia ,"Writing (Screenplay, Based on Material from Another Medium)",,,
3949,Vladimir Nabokov,Lolita ,"Writing (Screenplay, Based on Material from Another Medium)",,,
3950,William Gibson,The Miracle Worker ,"Writing (Screenplay, Based on Material from Another Medium)",,,
3951,Horton Foote,To Kill a Mockingbird ,"Writing (Screenplay, Based on Material from Another Medium)",,,
3952,"Ennio de Concini, Alfredo Giannetti, Pietro Germi",Divorce--Italian Style ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
3953,"Story by Charles Kaufman; Screenplay by Charles Kaufman, Wolfgang Reinhardt",Freud ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
3954,Alain Robbe-Grillet,Last Year at Marienbad ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
3955,"Stanley Shapiro, Nate Monaster",That Touch of Mink ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
3956,Ingmar Bergman,Through a Glass Darkly ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
3957,,Steve Broidy,Jean Hersholt Humanitarian Award,,,
3958,Tom Jones,Albert Finney,Actor,,,
3959,This Sporting Life,Richard Harris,Actor,,,
3960,Cleopatra,Rex Harrison,Actor,,,
3961,Hud,Paul Newman,Actor,,,
3962,Lilies of the Field,Sidney Poitier,Actor,,,
3963,Twilight of Honor,Nick Adams,Actor in a Supporting Role,,,
3964,"Captain Newman, M.D.",Bobby Darin,Actor in a Supporting Role,,,
3965,Hud,Melvyn Douglas,Actor in a Supporting Role,,,
3966,Tom Jones,Hugh Griffith,Actor in a Supporting Role,,,
3967,The Cardinal,John Huston,Actor in a Supporting Role,,,
3968,The L-Shaped Room,Leslie Caron,Actress,,,
3969,Irma La Douce,Shirley MacLaine,Actress,,,
3970,Hud,Patricia Neal,Actress,,,
3971,This Sporting Life,Rachel Roberts,Actress,,,
3972,Love with the Proper Stranger,Natalie Wood,Actress,,,
3973,Tom Jones,Diane Cilento,Actress in a Supporting Role,,,
3974,Tom Jones,Dame Edith Evans,Actress in a Supporting Role,,,
3975,Tom Jones,Joyce Redman,Actress in a Supporting Role,,,
3976,The V.I.P.s,Margaret Rutherford,Actress in a Supporting Role,,,
3977,Lilies of the Field,Lilia Skala,Actress in a Supporting Role,,,
3978,Gene Callahan,America America ,Art Direction (Black and White),,,
3979,Piero Gherardi,Federico Fellini's 8-1/2 ,Art Direction (Black and White),,,
3980,"Art Direction: Hal Pereira, Tambi Larsen; Set Decoration: Sam Comer, Robert Benton",Hud ,Art Direction (Black and White),,,
3981,"Art Direction: Hal Pereira, Roland Anderson; Set Decoration: Sam Comer, Grace Gregory",Love with the Proper Stranger ,Art Direction (Black and White),,,
3982,"Art Direction: George W. Davis, Paul Groesse; Set Decoration: Henry Grace, Hugh Hunt",Twilight of Honor ,Art Direction (Black and White),,,
3983,Art Direction: Lyle Wheeler,The Cardinal ,Art Direction (Color),,,
3984,"Art Direction: John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga; Set Decoration: Walter M. Scott, Paul S. Fox, Ray Moyer",Cleopatra ,Art Direction (Color),,,
3985,"Art Direction: Hal Pereira, Roland Anderson; Set Decoration: Sam Comer, James Payne",Come Blow Your Horn ,Art Direction (Color),,,
3986,"Art Direction: George W. Davis, William Ferrari, Addison Hehr; Set Decoration: Henry Grace, Don Greenwood, Jr., Jack Mills",How the West Was Won ,Art Direction (Color),,,
3987,"Art Direction: Ralph Brinton, Ted Marshall, Jocelyn Herbert; Set Decoration: Josie MacAvin",Tom Jones ,Art Direction (Color),,,
3988,George Folsey,The Balcony ,Cinematography (Black and White),,,
3989,Lucien Ballard,The Caretakers ,Cinematography (Black and White),,,
3990,James Wong Howe,Hud ,Cinematography (Black and White),,,
3991,Ernest Haller,Lilies of the Field ,Cinematography (Black and White),,,
3992,Milton Krasner,Love with the Proper Stranger ,Cinematography (Black and White),,,
3993,Leon Shamroy,The Cardinal ,Cinematography (Color),,,
3994,Leon Shamroy,Cleopatra ,Cinematography (Color),,,
3995,"William H. Daniels, Milton Krasner, Charles Lang, Jr., Joseph LaShelle",How the West Was Won ,Cinematography (Color),,,
3996,Joseph LaShelle,Irma La Douce ,Cinematography (Color),,,
3997,Ernest Laszlo,"It's a Mad, Mad, Mad, Mad World ",Cinematography (Color),,,
3998,Piero Gherardi,Federico Fellini's 8-1/2 ,Costume Design (Black and White),,,
3999,Edith Head,Love with the Proper Stranger ,Costume Design (Black and White),,,
4000,Travilla,The Stripper ,Costume Design (Black and White),,,
4001,Bill Thomas,Toys in the Attic ,Costume Design (Black and White),,,
4002,Edith Head,Wives and Lovers ,Costume Design (Black and White),,,
4003,Donald Brooks,The Cardinal ,Costume Design (Color),,,
4004,"Irene Sharaff, Vittorio Nino Novarese, Renie",Cleopatra ,Costume Design (Color),,,
4005,Walter Plunkett,How the West Was Won ,Costume Design (Color),,,
4006,Piero Tosi,The Leopard ,Costume Design (Color),,,
4007,Edith Head,A New Kind of Love ,Costume Design (Color),,,
4008,Elia Kazan,America America ,Directing,,,
4009,Otto Preminger,The Cardinal ,Directing,,,
4010,Federico Fellini,Federico Fellini's 8-1/2 ,Directing,,,
4011,Martin Ritt,Hud ,Directing,,,
4012,Tony Richardson,Tom Jones ,Directing,,,
4013,"Paul de Roubaix, Producer",Le Maillon et la Chaine (The Link and the Chain) ,Documentary (Feature),,,
4014,"Robert Hughes, Producer",Robert Frost: A Lover's Quarrel with the World ,Documentary (Feature),,,
4015,"Edgar Anstey, Producer",Terminus ,Documentary (Feature),,,
4016,"Marshall Flaum, Producer",The Yanks Are Coming ,Documentary (Feature),,,
4017,"Simon Schiffrin, Producer",Chagall ,Documentary (Short Subject),,,
4018,"George Stevens, Jr., Producer",The Five Cities of June ,Documentary (Short Subject),,,
4019,"Algernon G. Walker, Producer",The Spirit of America ,Documentary (Short Subject),,,
4020,"Edgar Anstey, Producer",Thirty Million Letters ,Documentary (Short Subject),,,
4021,"Mel London, Producer",To Live Again ,Documentary (Short Subject),,,
4022,Louis R. Loeffler,The Cardinal ,Film Editing,,,
4023,Dorothy Spencer,Cleopatra ,Film Editing,,,
4024,Ferris Webster,The Great Escape ,Film Editing,,,
4025,Harold F. Kress,How the West Was Won ,Film Editing,,,
4026,"Frederic Knudtson, Robert C. Jones, Gene Fowler, Jr.","It's a Mad, Mad, Mad, Mad World ",Film Editing,,,
4027,Italy,Federico Fellini's 8-1/2 ,Foreign Language Film,,,
4028,Poland,Knife in the Water ,Foreign Language Film,,,
4029,Spain,Los Tarantos ,Foreign Language Film,,,
4030,Greece,The Red Lanterns ,Foreign Language Film,,,
4031,Japan,Twin Sisters of Kyoto ,Foreign Language Film,,,
4032,Alex North,Cleopatra ,"Music (Music Score, Substantially Original)",,,
4033,Dimitri Tiomkin,55 Days at Peking ,"Music (Music Score, Substantially Original)",,,
4034,"Alfred Newman, Ken Darby",How the West Was Won ,"Music (Music Score, Substantially Original)",,,
4035,Ernest Gold,"It's a Mad, Mad, Mad, Mad World ","Music (Music Score, Substantially Original)",,,
4036,John Addison,Tom Jones ,"Music (Music Score, Substantially Original)",,,
4037,John Green,Bye Bye Birdie ,"Music (Scoring of Music, Adaptation or Treatment)",,,
4038,Andre Previn,Irma La Douce ,"Music (Scoring of Music, Adaptation or Treatment)",,,
4039,Leith Stevens,A New Kind of Love ,"Music (Scoring of Music, Adaptation or Treatment)",,,
4040,Maurice Jarre,Sundays and Cybele ,"Music (Scoring of Music, Adaptation or Treatment)",,,
4041,George Bruns,The Sword in the Stone ,"Music (Scoring of Music, Adaptation or Treatment)",,,
4042,Music by James Van Heusen,"""Call Me Irresponsible"" from Papa's Delicate Condition",Music (Song),,,
4043,Music by Henry Mancini,"""Charade"" from Charade",Music (Song),,,
4044,Music by Ernest Gold,"""It's A Mad, Mad, Mad, Mad World"" from It's a Mad, Mad, Mad, Mad World",Music (Song),,,
4045,Music by Dimitri Tiomkin,"""So Little Time"" from 55 Days at Peking",Music (Song),,,
4046,Music by Riz Ortolani and Nino Oliviero,"""More"" from Mondo Cane",Music (Song),,,
4047,"Elia Kazan, Producer",America America ,Best Picture,,,
4048,"Walter Wanger, Producer",Cleopatra ,Best Picture,,,
4049,"Bernard Smith, Producer",How the West Was Won ,Best Picture,,,
4050,"Ralph Nelson, Producer",Lilies of the Field ,Best Picture,,,
4051,"Tony Richardson, Producer",Tom Jones ,Best Picture,,,
4052,"John Halas, Producer",Automania 2000 ,Short Subject (Cartoon),,,
4053,"Ernest Pintoff, Producer",The Critic ,Short Subject (Cartoon),,,
4054,"Dusan Vukotic, Producer",The Game (Igra) ,Short Subject (Cartoon),,,
4055,"Colin Low and Tom Daly, Producers",My Financial Career ,Short Subject (Cartoon),,,
4056,"Carmen D'Avino, Producer",Pianissimo ,Short Subject (Cartoon),,,
4057,"Ezra Baker, Producer",The Concert ,Short Subject (Live Action),,,
4058,"James Hill, Producer",Home-Made Car ,Short Subject (Live Action),,,
4059,"Paul de Roubaix and Marcel Ichac, Producers",An Occurrence at Owl Creek Bridge ,Short Subject (Live Action),,,
4060,"Christopher Miles, Producer",Six-Sided Triangle ,Short Subject (Live Action),,,
4061,"Walker Stuart, Producer",That's Me ,Short Subject (Live Action),,,
4062,"Columbia Studio Sound Department, Charles Rice, Sound Director",Bye Bye Birdie ,Sound,,,
4063,"Universal City Studio Sound Department, Waldon O. Watson, Sound Director","Captain Newman, M.D. ",Sound,,,
4064,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",Cleopatra ,Sound,,,
4065,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",How the West Was Won ,Sound,,,
4066,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director","It's a Mad, Mad, Mad, Mad World ",Sound,,,
4067,Robert L. Bratton,A Gathering of Eagles ,Sound Effects,,,
4068,Walter G. Elliott,"It's a Mad, Mad, Mad, Mad World ",Sound Effects,,,
4069,Ub Iwerks,The Birds ,Special Effects,,,
4070,"Emil Kosa, Jr.",Cleopatra ,Special Effects,,,
4071,"Richard L. Breen, Phoebe Ephron, Henry Ephron","Captain Newman, M.D. ","Writing (Screenplay, Based on Material from Another Medium)",,,
4072,"Irving Ravetch, Harriet Frank, Jr.",Hud ,"Writing (Screenplay, Based on Material from Another Medium)",,,
4073,James Poe,Lilies of the Field ,"Writing (Screenplay, Based on Material from Another Medium)",,,
4074,"Serge Bourguignon, Antoine Tudal",Sundays and Cybele ,"Writing (Screenplay, Based on Material from Another Medium)",,,
4075,John Osborne,Tom Jones ,"Writing (Screenplay, Based on Material from Another Medium)",,,
4076,Elia Kazan,America America ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
4077,"Federico Fellini, Ennio Flaiano, Tullio Pinelli, Brunello Rondi",Federico Fellini's 8-1/2 ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
4078,"Story by Pasquale Festa Campanile, Massimo Franciosa, Nanni Loy, Vasco Pratolini; Screenplay by Carlo Bernari, Pasquale Festa Campanile, Massimo Franciosa, Nanni Loy",The Four Days of Naples ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
4079,James R. Webb,How the West Was Won ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
4080,Arnold Schulman,Love with the Proper Stranger ,"Writing (Story and Screenplay, Written Directly for the Screen)",,,
4081,,Sam Spiegel,Irving G. Thalberg Memorial Award,,,
4082,Becket,Richard Burton,Actor,,,
4083,My Fair Lady,Rex Harrison,Actor,,,
4084,Becket,Peter O'Toole,Actor,,,
4085,Zorba the Greek,Anthony Quinn,Actor,,,
4086,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Peter Sellers,Actor,,,
4087,Becket,John Gielgud,Actor in a Supporting Role,,,
4088,My Fair Lady,Stanley Holloway,Actor in a Supporting Role,,,
4089,Seven Days in May,Edmond O'Brien,Actor in a Supporting Role,,,
4090,The Best Man,Lee Tracy,Actor in a Supporting Role,,,
4091,Topkapi,Peter Ustinov,Actor in a Supporting Role,,,
4092,Mary Poppins,Julie Andrews,Actress,,,
4093,The Pumpkin Eater,Anne Bancroft,Actress,,,
4094,Marriage Italian Style,Sophia Loren,Actress,,,
4095,The Unsinkable Molly Brown,Debbie Reynolds,Actress,,,
4096,Seance on a Wet Afternoon,Kim Stanley,Actress,,,
4097,My Fair Lady,Gladys Cooper,Actress in a Supporting Role,,,
4098,The Chalk Garden,Dame Edith Evans,Actress in a Supporting Role,,,
4099,The Night of the Iguana,Grayson Hall,Actress in a Supporting Role,,,
4100,Zorba the Greek,Lila Kedrova,Actress in a Supporting Role,,,
4101,"Hush...Hush, Sweet Charlotte",Agnes Moorehead,Actress in a Supporting Role,,,
4102,"Art Direction: George W. Davis, Hans Peters, Elliot Scott; Set Decoration: Henry Grace, Robert R. Benton",The Americanization of Emily ,Art Direction (Black and White),,,
4103,Art Direction: William Glasgow,"Hush...Hush, Sweet Charlotte ",Art Direction (Black and White),,,
4104,Stephen Grimes,The Night of the Iguana ,Art Direction (Black and White),,,
4105,Art Direction: Cary Odell,Seven Days in May ,Art Direction (Black and White),,,
4106,Vassilis Fotopoulos,Zorba the Greek ,Art Direction (Black and White),,,
4107,"Art Direction: John Bryan, Maurice Carter; Set Decoration: Patrick McLoughlin, Robert Cartwright",Becket ,Art Direction (Color),,,
4108,"Art Direction: Carroll Clark, William H. Tuntke; Set Decoration: Emile Kuri, Hal Gausman",Mary Poppins ,Art Direction (Color),,,
4109,"Art Direction: Gene Allen, Cecil Beaton; Set Decoration: George James Hopkins",My Fair Lady ,Art Direction (Color),,,
4110,"Art Direction: George W. Davis, Preston Ames; Set Decoration: Henry Grace, Hugh Hunt",The Unsinkable Molly Brown ,Art Direction (Color),,,
4111,"Art Direction: Jack Martin Smith, Ted Haworth; Set Decoration: Walter M. Scott, Stuart A. Reiss",What a Way to Go! ,Art Direction (Color),,,
4112,Philip H. Lathrop,The Americanization of Emily ,Cinematography (Black and White),,,
4113,Milton Krasner,Fate Is the Hunter ,Cinematography (Black and White),,,
4114,Joseph Biroc,"Hush...Hush, Sweet Charlotte ",Cinematography (Black and White),,,
4115,Gabriel Figueroa,The Night of the Iguana ,Cinematography (Black and White),,,
4116,Walter Lassally,Zorba the Greek ,Cinematography (Black and White),,,
4117,Geoffrey Unsworth,Becket ,Cinematography (Color),,,
4118,William H. Clothier,Cheyenne Autumn ,Cinematography (Color),,,
4119,Edward Colman,Mary Poppins ,Cinematography (Color),,,
4120,Harry Stradling,My Fair Lady ,Cinematography (Color),,,
4121,Daniel L. Fapp,The Unsinkable Molly Brown ,Cinematography (Color),,,
4122,Edith Head,A House Is Not a Home ,Costume Design (Black and White),,,
4123,Norma Koch,"Hush...Hush, Sweet Charlotte ",Costume Design (Black and White),,,
4124,Howard Shoup,Kisses for My President ,Costume Design (Black and White),,,
4125,Dorothy Jeakins,The Night of the Iguana ,Costume Design (Black and White),,,
4126,René Hubert,The Visit ,Costume Design (Black and White),,,
4127,Margaret Furse,Becket ,Costume Design (Color),,,
4128,Tony Walton,Mary Poppins ,Costume Design (Color),,,
4129,Cecil Beaton,My Fair Lady ,Costume Design (Color),,,
4130,Morton Haack,The Unsinkable Molly Brown ,Costume Design (Color),,,
4131,"Edith Head, Moss Mabry",What a Way to Go! ,Costume Design (Color),,,
4132,Peter Glenville,Becket ,Directing,,,
4133,Stanley Kubrick,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,Directing,,,
4134,Robert Stevenson,Mary Poppins ,Directing,,,
4135,George Cukor,My Fair Lady ,Directing,,,
4136,Michael Cacoyannis,Zorba the Greek ,Directing,,,
4137,"Jack Le Vien, Producer",The Finest Hours ,Documentary (Feature),,,
4138,"Mel Stuart, Producer",Four Days in November ,Documentary (Feature),,,
4139,"Bert Haanstra, Producer",The Human Dutch ,Documentary (Feature),,,
4140,"Jacques-Yves Cousteau, Producer",Jacques-Yves Cousteau's World without Sun ,Documentary (Feature),,,
4141,"Jean Aurel, Producer","Over There, 1914-18 ",Documentary (Feature),,,
4142,"Henry Jacobs and John Korty, Producers",Breaking the Habit ,Documentary (Short Subject),,,
4143,"Charles Guggenheim, Producer",Children Without ,Documentary (Short Subject),,,
4144,National Film Board of Canada,Kenojuak ,Documentary (Short Subject),,,
4145,"Charles Guggenheim, Producer",Nine from Little Rock ,Documentary (Short Subject),,,
4146,"Geoffrey Scott and Oxley Hughan, Producers",140 Days under the World ,Documentary (Short Subject),,,
4147,Anne Coates,Becket ,Film Editing,,,
4148,Ted J. Kent,Father Goose ,Film Editing,,,
4149,Michael Luciano,"Hush...Hush, Sweet Charlotte ",Film Editing,,,
4150,Cotton Warburton,Mary Poppins ,Film Editing,,,
4151,William Ziegler,My Fair Lady ,Film Editing,,,
4152,Sweden,Raven's End ,Foreign Language Film,,,
4153,Israel,Sallah ,Foreign Language Film,,,
4154,France,The Umbrellas of Cherbourg ,Foreign Language Film,,,
4155,Japan,Woman in the Dunes ,Foreign Language Film,,,
4156,Italy,"Yesterday, Today and Tomorrow ",Foreign Language Film,,,
4157,Laurence Rosenthal,Becket ,"Music (Music Score, Substantially Original)",,,
